"Municipio","ibge","latitude","longitude","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1974 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1975 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1976 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1977 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1978 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1979 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1980 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1981 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1982 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1983 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1984 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1985 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1986 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1987 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1988 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1989 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1990 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1991 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1992 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1993 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1994 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1995 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1996 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1997 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1998 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1999 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2000 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2001 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2002 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2003 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2004 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2005 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2006 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2007 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2008 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2009 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2010 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2011 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2012 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2013 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2014 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2015 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2016 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2017 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2018 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2019 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2020 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2021 (R$ mil)"
"Taquaru�u do Sul","4321329","-27.400400000000","-53.470300000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","24","2.486","0","52.989","1.141","9","20","17","21","26","29","42","34","34","111","65","43","43","44","37","11","5","8","11","2","3","2","3","5","5","3","3","7"
"Tavares","4321352","-31.284300000000","-51.088000000000","...","...","...","...","...","...","...","...","...","638.550","815.100","4.903","12.959","25.704","290.520","1.511","91.053","568.260","4.299.570","201.936","1.708","1.847","1.450","1.483","2.002","2.552","2.220","3.142","4.143","6.109","9.794","4.619","3.585","4.348","9.523","7.175","7.428","4.683","8.568","10.376","13.098","13.440","13.853","13.143","13.595","14.826","16.164","24.583"
"Tenente Portela","4321402","-27.371099999990","-53.758499999990","270","918","972","1.156","875","504","11.808","11.799","11.398","24.267","121.520","301","395","2.289","5.310","69","885","3.580","70.840","519","9","11","3","4","4","4","5","18","8","17","15","7","7","7","2","-","-","3","1","-","-","-","-","-","-","5","5","6"
"Terra de Areia","4321436","-29.578199999990","-50.064399999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","586","10.875","83.490","481.250","6.924","157","142","205","115","171","120","96","112","133","235","770","568","474","210","515","700","801","617","291","500","547","563","635","675","490","517","680","1.156"
"Teut�nia","4321451","-29.448200000000","-51.804400000000","...","...","...","...","...","...","...","...","...","4.188","12.376","25","69","147","1.344","10","355","1.976","13.698","22","1","0","3","0","0","0","0","1","1","3","1","-","1","1","1","1","1","-","-","-","-","-","-","-","-","-","-","-"
"Tio Hugo","4321469","-28.574040000000","-52.594900000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1","1","2","3","1","1","1","2","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Tiradentes do Sul","4321477","-27.402200000000","-54.081400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","320","5","14","4","3","4","4","4","4","4","6","5","-","3","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Toropi","4321493","-29.478200000000","-54.224400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","362","473","436","381","466","592","789","1.014","491","584","660","951","1.113","648","751","722","1.178","1.267","1.227","1.284","1.881","1.824","1.275","2.670","4.165"
"Torres","4321501","-29.333400000000","-49.733300000000","627","2.318","3.132","11.235","15.068","18.398","64.760","335.550","500.904","750.598","3.636.320","15.582","30.051","88.220","304.668","2.675","156.618","1.313.328","9.791.933","287.857","1.938","2.395","1.814","2.110","2.903","3.093","2.469","2.815","6.440","14.775","10.785","8.624","7.399","5.421","14.154","11.340","11.804","11.711","15.107","12.945","17.892","20.136","21.273","22.287","16.972","20.028","24.494","46.174"
"Tramanda�","4321600","-29.984100000000","-50.132199999990","1.841","2.667","4.561","4.120","5.506","4.290","18.200","60.822","80.925","144.491","509.728","4.871","11.781","26.117","123.800","75","3.133","34.400","211.750","3.025","49","87","128","160","146","179","143","167","214","378","1.034","801","687","727","856","840","715","1.112","1.258","1.428","1.581","1.740","1.900","1.360","1.037","1.123","1.400","3.060"
"Travesseiro","4321626","-29.297699999990","-52.053199999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","168","6","8","5","4","5","5","5","5","1","6","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Tr�s Arroios","4321634","-27.500299999990","-52.144799999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","46","1.079","-","56.417","1.576","10","17","15","17","28","13","19","21","18","27","5","-","3","3","4","1","2","3","2","2","-","-","-","-","-","-","-","-"
"Tr�s Cachoeiras","4321667","-29.448699999990","-49.927500000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","75","3.763","29.240","172.095","2.459","1","3","238","363","567","604","482","611","725","1.279","1.459","1.183","989","3.775","1.575","1.960","1.981","1.741","2.118","2.361","2.615","2.914","2.822","2.796","2.419","2.588","3.169","5.641"
"Tr�s Coroas","4321709","-29.513700000000","-50.773899999990","128","66","75","270","460","479","540","2.144","1.949","4.048","10.994","35","86","115","-","82","1.443","3.833","21.157","486","6","7","4","6","6","7","7","7","9","5","13","2","1","1","1","1","1","1","1","1","1","1","2","2","1","2","2","6"
"Tr�s de Maio","4321808","-27.780000000000","-54.235700000000","490","1.448","1.620","1.260","1.000","884","1.892","3.328","5.002","11.667","71.400","300","854","2.098","12.759","60","4.732","31.050","536.698","10.377","99","94","33","122","134","134","112","150","201","315","133","7","13","7","6","2","1","8","9","9","13","13","14","17","12","14","-","-"
"Tr�s Forquilhas","4321832","-29.538399999990","-50.070799999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","693","7","13","8","8","8","21","17","21","25","45","39","31","25","30","-","-","50","45","-","-","-","-","-","-","-","-","-","-"
"Tr�s Palmeiras","4321857","-27.613900000000","-52.843699999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","158","5.272","352","77.005","1.287","15","22","15","21","23","14","6","7","8","10","12","3","5","5","6","4","4","-","-","-","-","-","-","-","-","-","-","-"
"Tr�s Passos","4321907","-27.455500000000","-53.929600000000","270","918","972","1.175","875","189","6.642","17.361","17.712","30.000","177.840","490","604","920","3.078","59","1.328","5.370","70.070","799","13","15","7","10","11","10","11","8","4","9","10","2","3","3","3","3","2","3","-","-","-","-","-","-","-","12","5","-"
"Trindade do Sul","4321956","-27.523900000000","-52.895600000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","140","2.878","439","52.600","822","6","15","13","33","11","11","11","11","6","9","0","-","1","1","1","2","2","9","1","-","-","-","-","-","-","-","-","-"
"Triunfo","4322004","-29.929099999990","-51.707500000000","3.233","7.979","9.162","13.525","21.600","12.140","34.320","115.976","284.240","705.438","2.295.630","8.101","23.760","38.424","528.000","5.693","127.688","1.008.000","9.840.000","203.532","3.491","3.300","2.000","3.511","6.327","9.000","9.000","9.240","13.365","19.058","21.632","15.444","11.520","16.779","30.307","44.660","29.347","20.079","31.298","38.232","31.824","38.819","33.913","48.849","49.932","57.150","61.875","156.000"
"Tucunduva","4322103","-27.657299999990","-54.443899999990","126","396","540","259","400","198","611","312","1.025","1.089","37.200","145","21","463","405","8","559","3.347","34.257","389","4","4","4","5","5","5","4","6","8","12","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Tunas","4322152","-29.103899999990","-52.953800000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","16","1.152","0","184.000","5.898","48","43","31","37","33","31","13","22","28","48","11","-","4","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Tupanci do Sul","4322186","-27.924099999990","-51.538300000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","546","4","5","10","9","9","15","15","16","14","4","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Tupanciret�","4322202","-29.085799999990","-53.844499999990","303","726","988","1.944","3.480","1.680","6.400","15.700","41.180","61.500","276.390","1.065","1.818","5.777","14.591","437","20.614","63.889","646.577","7.568","54","165","112","40","112","86","59","69","77","106","74","4","29","29","41","1.802","43","28","48","8","18","-","-","-","-","-","-","-"
"Tupandi","4322251","-29.477200000000","-51.417400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","16","539","3.795","36.881","845","8","8","5","13","11","8","8","4","6","8","10","3","5","7","8","12","12","11","11","1","1","1","1","1","1","1","1","2"
"Tuparendi","4322301","-27.759799999990","-54.481400000000","126","264","432","320","400","326","281","1.040","1.558","2.178","6.944","58","83","417","2.697","14","1.043","6.879","88.498","1.881","18","12","14","17","17","18","15","21","28","43","37","1","27","5","5","6","4","6","6","6","8","8","10","11","8","10","-","-"
"Turu�u","4322327","-31.417300000000","-52.170600000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1.526","1.780","1.681","1.372","1.747","1.749","2.722","4.460","2.898","2.220","2.952","7.485","6.823","8.003","4.970","5.554","8.266","8.782","9.832","9.614","11.447","8.398","10.103","12.853","27.627"
"Ubiretama","4322343","-28.040400000000","-54.685899999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","6","7","7","5","7","10","15","13","1","3","3","3","5","3","4","-","-","-","-","-","-","-","-","-","-"
"Uni�o da Serra","4322350","-28.783300000000","-52.023800000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","454","3","7","1","2","5","4","3","1","1","2","1","-","1","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Unistalda","4322376","-29.039999999990","-55.151699999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","119","144","182","226","95","13","-","-","-","55","63","355","506","386","303","-","363","233","-","-","-","-","-","-","-"
"Uruguaiana","4322400","-29.761399999990","-57.085299999990","135.012","220.405","256.706","385.200","554.594","1.078.265","3.005.948","4.851.301","11.995.488","25.123.598","104.501.824","392.083","976.877","2.292.450","19.006.000","174.184","4.213.210","44.378.331","441.327.222","8.877.028","84.200","105.347","83.791","64.832","103.154","140.217","71.729","130.046","205.426","256.466","313.359","166.773","231.539","161.189","367.541","381.903","313.559","260.699","309.065","415.777","463.230","545.723","540.622","595.893","497.110","547.699","586.500","1.253.979"
"Vacaria","4322509","-28.507899999990","-50.941800000000","55","286","600","1.080","200","400","850","2.246","9.940","11.495","47.580","180","502","997","2.036","14","553","525","42.822","480","3","3","1","4","4","4","4","5","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Vale do Sol","4322533","-29.596699999990","-52.683900000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","109.312","820","795","829","1.275","1.351","1.536","1.261","1.400","2.030","3.439","3.630","1.570","1.653","1.536","2.316","2.316","2.753","3.667","2.750","4.761","4.642","5.258","5.958","6.300","5.414","6.252","7.754","14.270"
"Vale Real","4322541","-29.391900000000","-51.255899999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","423","3","2","1","3","2","1","1","1","1","2","2","1","2","2","1","2","1","2","1","-","-","-","-","-","-","-","-","-"
"Vale Verde","4322525","-29.786400000000","-52.185699999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1.405","2.020","2.570","2.700","1.348","3.337","4.432","5.197","1.174","3.008","3.808","5.511","6.765","5.339","3.586","4.054","4.823","5.125","5.586","6.190","7.340","6.112","6.066","5.488","10.899"
"Vanini","4322558","-28.475800000000","-51.844700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","12","419","-","26.039","393","4","4","1","2","2","2","1","1","3","7","6","1","2","2","4","4","-","-","-","-","-","-","-","-","-","-","-","-"
"Ven�ncio Aires","4322608","-29.614300000000","-52.193199999990","2.872","5.545","7.763","7.487","14.502","12.158","48.355","122.320","249.682","708.594","1.690.800","4.824","8.542","28.158","175.820","1.877","74.556","392.400","2.223.000","130.934","694","1.161","997","1.196","1.197","2.341","2.028","2.385","3.673","6.716","5.930","3.121","3.519","3.257","3.911","4.507","5.613","7.009","7.867","9.882","8.607","10.454","11.186","12.146","10.154","10.491","12.487","23.430"
"Vera Cruz","4322707","-29.718399999990","-52.515200000000","1.482","4.760","6.112","4.725","8.678","9.091","16.128","53.280","120.510","230.370","757.440","1.526","818","8.572","88.859","933","27.307","196.800","1.575.000","57.846","224","362","421","541","417","1.403","1.025","1.114","1.800","2.764","3.448","1.033","2.025","1.844","2.116","2.116","486","3.780","3.237","4.536","4.232","4.900","4.389","5.628","5.865","5.085","5.445","10.371"
"Veran�polis","4322806","-28.931200000000","-51.551600000000","630","1.000","1.500","1.620","1.100","1.440","7.680","17.984","13.396","26.038","23.040","84","162","376","4.988","13","389","2.000","22.880","594","6","3","1","1","1","1","-","-","-","4","4","1","2","3","2","2","-","-","-","-","-","-","-","-","-","-","-","-"
"Vespasiano Correa","4322855","-29.065500000000","-51.862500000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","7","8","5","5","4","2","8","3","-","2","2","2","2","3","2","2","3","4","-","-","-","-","-","-","-"
"Viadutos","4322905","-27.571600000000","-52.021099999990","128","288","522","826","95","99","1.420","2.434","2.250","5.400","12.240","57","155","254","1.176","20","555","0","65.820","1.510","12","28","4","4","6","3","7","8","7","10","1","-","6","6","12","5","-","4","1","-","-","-","-","-","-","-","-","-"
"Viam�o","4323002","-30.081900000000","-51.019399999990","30.585","51.170","63.642","59.280","50.471","129.496","273.599","509.138","1.476.466","4.303.665","7.402.395","42.420","155.259","343.674","5.202.600","43.717","1.059.192","13.007.304","84.683.610","1.593.989","18.900","20.083","14.515","13.778","25.002","23.654","22.101","21.827","29.459","56.747","74.859","47.245","50.527","65.732","96.667","94.775","84.244","63.063","98.732","123.816","158.399","130.015","154.374","111.562","117.780","121.892","134.801","246.228"
"Vicente Dutra","4323101","-27.160799999990","-53.402200000000","5","130","150","1.258","-","-","2.496","5.800","6.080","9.760","14.850","176","182","663","2.739","68","3.245","0","24.347","360","4","7","23","8","10","18","26","25","24","80","47","49","50","50","43","50","26","35","48","28","19","2","2","12","2","2","3","5"
"Victor Graeff","4323200","-28.563199999990","-52.749499999990","324","607","750","856","630","58","488","2.790","4.428","8.580","32.100","143","143","776","2.744","81","2.022","0","151.893","3.805","42","46","10","11","13","12","5","6","6","7","5","1","2","2","3","1","-","-","-","-","-","-","-","-","-","-","-","-"
"Vila Flores","4323309","-28.859800000000","-51.550400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","10","292","1.440","15.444","267","3","2","2","0","0","1","-","-","-","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Vila L�ngaro","4323358","-28.106200000000","-52.143799999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","5","5","6","6","6","7","4","3","-","2","2","3","2","2","2","2","2","3","-","-","-","-","-","-","-"
"Vila Maria","4323408","-28.535900000000","-52.148699999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","104","607","0","36.165","755","8","10","8","6","9","8","8","15","23","36","34","-","13","7","6","6","-","-","-","-","-","-","-","-","-","-","-","-"
"Vila Nova do Sul","4323457","-30.346100000000","-53.875999999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","22.550","470","416","525","506","667","773","575","853","1.075","1.363","1.695","639","896","987","1.509","1.458","1.166","881","878","748","1.701","1.731","1.369","2.247","1.709","1.020","1.152","2.604"
"Vista Alegre","4323507","-27.368600000000","-53.491900000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","16","1.530","0","65.000","715","5","10","14","6","7","34","49","40","42","139","81","86","86","89","43","8","4","6","8","1","1","2","3","3","3","3","3","7"
"Vista Alegre do Prata","4323606","-28.805199999990","-51.794600000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","16","789","-","26.950","403","3","6","3","6","6","9","10","4","2","3","2","-","3","3","2","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Vista Ga�cha","4323705","-27.290199999990","-53.697400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","10","266","1.790","26.950","320","5","5","4","3","3","2","2","3","3","5","5","2","6","6","6","6","6","1","-","-","-","-","-","-","-","-","-","-"
"Vit�ria das Miss�es","4323754","-28.351600000000","-54.503999999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","15.214","52","74","38","86","89","57","114","85","219","236","192","144","147","133","174","65","264","312","165","198","-","-","-","-","-","80","100","170"
"Westfalia","4323770","-29.374400000000","-51.746299999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Xangri-l�","4323804","-29.806500000000","-50.051900000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","-","-","-","275","164","-","-","-","-","-","-","761","565","485","513","172","286","295","683","942","1.008","1.124","1.036","681","298","588","842","1.505","4.117"
