"Municipio","ibge","latitude","longitude","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1974 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1975 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1976 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1977 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1978 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1979 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1980 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1981 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1982 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1983 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1984 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1985 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1986 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1987 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1988 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1989 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1990 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1991 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1992 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1993 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1994 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1995 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1996 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1997 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1998 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1999 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2000 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2001 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2002 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2003 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2004 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2005 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2006 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2007 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2008 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2009 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2010 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2011 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2012 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2013 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2014 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2015 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2016 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2017 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2018 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2019 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2020 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2021 (kg/ha)"
"Peju�ara","4314308","-28.428300000000","-53.657899999990","1.250","2.500","3.000","3.000","-","1.500","2.508","1.500","2.061","1.200","1.508","1.508","2.000","3.300","1.667","3.300","2.500","1.800","4.100","2.560","2.500","2.500","2.400","1.500","2.400","2.400","767","2.100","1.800","1.800","-","-","3.000","3.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pelotas","4314407","-31.764900000000","-52.337100000000","4.150","3.910","3.763","4.000","3.933","2.958","4.000","4.500","4.500","3.329","4.700","5.000","5.000","5.000","5.000","5.000","4.000","4.500","4.800","5.000","5.000","5.500","4.974","5.500","4.400","5.500","5.500","5.500","5.350","5.129","5.710","4.298","6.085","6.995","6.896","7.042","6.996","7.973","7.550","7.910","7.390","8.200","7.682","8.830","8.775","8.639","9.058","9.600"
"Picada Caf�","4314423","-29.446400000000","-51.136699999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.000","1.000","1.000","833","750","750","1.250","1.250","1.250","1.250","1.500","1.250","250","1.500","1.500","1.500","1.500","1.500","1.500","1.000","1.500","1.500","2.000","2.000","2.000","2.000","2.000","2.000","2.000"
"Pinhal","4314456","-27.507999999990","-53.208199999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.200","1.200","200","1.800","1.800","1.800","1.800","1.800","1.800","1.800","1.800","1.800","1.800","1.800","1.800","1.800","1.800","2.000","2.000","2.000","2.000","2.000","-","-","-","-","-","-","-","-","-","-","-"
"Pinhal da Serra","4314464","-27.863399999990","-51.170200000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.900","1.900","1.900","1.900","-","1.200","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pinhal Grande","4314472","-29.344999999990","-53.320700000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.000","2.000","2.000","1.303","300","2.000","2.000","3.085","4.571","5.682","4.455","4.938","6.000","5.733","6.200","6.000","6.500","5.000","-","-","-","-","-","-","-","-","-","-","-"
"Pinheirinho do Vale","4314498","-27.210899999990","-53.607999999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.800","1.800","1.800","1.135","1.800","1.800","1.792","1.906","1.906","1.906","1.906","1.906","1.906","1.906","1.906","1.906","-","-","-","-","-","-","3.000","3.000","3.000","3.000","3.000","3.000","3.000"
"Pinheiro Machado","4314506","-31.579400000000","-53.379800000000","3.440","2.867","3.535","2.500","2.800","3.860","4.000","4.400","4.400","2.000","5.000","4.650","993","3.957","3.951","2.366","4.333","4.333","5.199","4.585","2.650","4.400","5.218","5.000","5.000","5.000","5.000","5.000","4.680","4.680","5.100","5.071","5.500","5.500","5.660","5.760","5.760","5.640","-","-","-","-","-","7.457","7.500","7.500","-","7.500"
"Pinto Bandeira","4314548","-29.000000000000","-54.000000000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","500","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pirap�","4314555","-28.043900000000","-55.200099999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.520","2.514","2.768","3.385","4.773","3.950","3.440","1.800","3.815","3.750","-","3.833","1.500","1.200","2.000","800","-","2.000","3.143","2.000","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Piratini","4314605","-31.447299999990","-53.097299999990","3.810","4.640","3.170","4.500","5.000","2.575","4.000","4.000","5.000","4.000","4.000","4.000","4.000","4.000","3.076","4.350","4.350","5.818","5.902","5.415","4.462","5.939","5.925","5.925","4.889","4.889","4.889","4.889","4.167","4.407","6.422","5.800","5.596","6.868","6.933","8.098","7.318","7.381","8.038","7.997","7.711","9.211","8.080","9.672","8.610","8.819","8.245","8.629"
"Planalto","4314704","-27.329699999990","-53.057500000000","1.196","1.896","1.800","1.800","300","150","900","900","700","1.030","1.253","1.250","900","544","719","1.600","1.600","-","2.500","2.495","3.000","3.000","1.458","2.500","3.000","4.000","4.000","5.000","5.000","5.000","5.000","5.000","3.500","3.500","3.500","1.500","1.500","3.500","500","1.500","1.500","1.500","1.500","1.500","1.500","2.000","1.000","2.000"
"Po�o das Antas","4314753","-29.448100000000","-51.671900000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.333","1.300","-","1.429","1.375","1.500","1.571","1.077","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","-","1.000","1.000","1.000","1.000","-","-","-","-","-","-","-","-","-","-","-","-"
"Pont�o","4314779","-28.058499999990","-52.679099999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.000","2.667","2.400","1.400","2.400","2.400","1.600","1.600","2.000","1.000","1.800","950","500","1.200","1.200","1.500","1.500","1.500","1.783","-","-","-","-","-","-","-","-","-","-"
"Ponte Preta","4314787","-27.658700000000","-52.484800000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.400","1.400","1.800","1.108","1.784","1.800","1.500","1.500","1.533","1.533","1.500","1.400","-","1.500","1.500","1.500","500","1.500","2.000","-","-","-","-","-","-","-","-","-","-"
"Port�o","4314803","-29.701499999990","-51.242899999990","2.489","1.333","2.655","2.500","3.000","2.071","2.533","1.167","500","1.833","1.833","1.833","833","1.500","1.167","1.167","1.000","1.333","1.333","1.500","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","1.000","4.439","4.457","4.457","5.931","5.931","4.919","5.929","5.929","5.929","5.929","5.929","6.800","5.929","6.850","6.319","6.350"
"Porto Alegre","4314902","-30.032778000000","-51.230000000000","3.000","3.585","2.554","3.400","3.400","1.212","-","3.667","3.460","3.298","3.125","3.300","4.000","4.500","5.000","4.400","4.000","5.000","5.000","4.300","4.101","4.800","4.800","4.400","4.400","4.400","4.400","4.400","4.400","5.000","5.000","6.000","6.000","5.800","6.100","6.100","5.500","6.502","7.244","7.000","7.100","6.901","6.699","6.319","6.446","8.300","7.000","6.560"
"Porto Lucena","4315008","-27.856900000000","-55.009999999990","1.615","2.000","2.000","2.000","1.000","600","1.500","1.516","1.000","1.648","2.069","1.800","2.000","1.800","720","1.800","1.438","280","1.440","2.000","2.000","2.000","1.500","1.000","1.810","800","900","2.000","1.667","2.000","-","-","1.000","1.600","500","500","-","-","-","-","-","-","-","-","-","-","-","-"
"Porto Mau�","4315057","-27.579599999990","-54.665700000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","-","-"
"Porto Vera Cruz","4315073","-27.740500000000","-54.899400000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.500","1.500","1.500","-","1.250","1.250","1.250","1.250","1.250","1.250","1.250","1.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Porto Xavier","4315107","-27.908200000000","-55.137900000000","1.091","2.094","2.100","2.100","1.500","420","1.500","1.500","798","1.202","1.244","1.244","463","1.707","702","1.562","1.849","1.192","4.291","4.732","5.706","4.760","3.106","1.200","2.000","4.571","4.400","2.000","1.000","1.600","1.000","-","1.200","1.600","1.667","1.000","2.000","-","-","-","-","-","-","-","-","-","-","-"
"Pouso Novo","4315131","-29.173800000000","-52.213600000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.200","1.200","-","1.200","1.200","1.200","1.200","1.200","900","1.400","1.000","1.000","1.300","1.800","1.778","1.778","-","1.000","1.778","1.778","1.800","2.167","-","-","-","-","-","-","-","-","-","-","-"
"Presidente Lucena","4315149","-29.517600000000","-51.179800000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.500","1.500","1.500","1.000","1.000","1.000","1.500","1.500","1.500","1.667","2.000","1.333","333","1.333","1.333","1.667","1.333","1.333","1.333","1.000","1.500","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000"
"Progresso","4315156","-29.244199999990","-52.319699999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.404","1.404","400","1.753","1.719","1.720","1.720","1.714","1.720","1.720","1.725","1.725","1.716","1.716","1.716","1.716","-","2.000","2.533","2.533","2.533","3.000","3.000","1.000","3.000","3.000","3.714","3.000","3.000","3.000","3.000","-","-"
"Prot�sio Alves","4315172","-28.757200000000","-51.475700000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.300","1.300","500","1.300","1.300","1.300","1.300","875","1.200","1.200","1.200","1.200","1.200","1.200","1.533","1.333","1.000","1.000","1.000","1.000","1.000","1.000","-","-","-","-","-","-","-","-","-","-","-"
"Putinga","4315206","-29.004500000000","-52.156900000000","1.500","1.257","1.296","991","651","581","1.000","1.500","519","1.500","2.000","2.000","1.000","2.000","1.600","2.000","2.000","200","2.000","2.000","2.000","2.000","1.000","1.000","1.500","1.500","1.500","1.500","1.500","1.500","600","-","1.250","2.400","2.500","-","-","-","-","-","-","-","-","2.000","2.000","2.000","2.000","2.000"
"Quara�","4315305","-30.384000000000","-56.448300000000","3.113","3.550","3.789","4.000","3.750","3.597","3.900","3.800","3.800","3.600","4.880","3.998","3.500","4.407","4.740","3.750","4.780","4.500","5.000","5.000","3.000","5.500","5.199","5.000","4.500","5.000","4.657","6.800","6.800","4.865","6.549","6.010","7.576","7.530","7.780","8.050","7.720","8.012","8.200","6.690","8.000","8.655","7.320","8.850","8.647","8.266","8.999","9.015"
"Quatro Irm�os","4315313","-27.816299999990","-52.441899999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.750","875","1.000","1.333","667","1.333","1.333","1.667","500","2.250","2.250","1.000","-","-","-","-","-","-","-","-","-"
"Quevedos","4315321","-29.350400000000","-54.078899999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.864","1.858","2.244","1.114","1.324","1.800","1.800","700","1.200","900","1.800","1.000","400","1.000","1.000","1.000","-","-","1.000","-","-","-","-","-","-","-","-","-","-"
"Quinze de Novembro","4315354","-28.746500000000","-53.101100000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.364","2.364","1.000","2.926","2.926","2.741","2.500","2.269","1.577","2.190","2.286","1.821","2.000","2.000","3.000","667","-","2.000","2.000","2.000","2.000","2.000","2.000","-","-","-","-","-","-","-","-","-","-"
"Redentora","4315404","-27.664000000000","-53.640700000000","1.800","2.085","1.800","1.800","333","-","2.000","1.100","538","1.400","1.500","1.545","636","1.250","917","1.500","1.500","527","2.444","3.333","4.593","4.125","2.000","3.000","3.500","2.857","2.857","2.857","2.857","2.857","2.857","2.286","2.286","2.286","2.286","2.286","2.500","1.800","2.000","-","-","-","-","-","-","-","-","-"
"Relvado","4315453","-29.116399999990","-52.077800000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.744","1.744","359","1.897","1.900","1.900","1.900","1.440","1.889","1.889","1.889","1.889","1.882","2.000","2.000","1.000","143","1.143","1.571","1.600","2.000","2.000","2.000","2.000","2.000","2.000","2.000","1.000","1.500","1.000","1.500","-","-"
"Restinga S�ca","4315503","-29.818800000000","-53.380699999990","3.294","3.435","3.354","3.500","3.524","2.833","3.947","4.200","4.800","2.850","4.491","4.093","2.499","4.544","5.499","5.458","4.598","5.198","4.848","5.498","3.999","5.298","4.769","4.999","3.898","6.000","6.040","5.000","5.965","4.752","5.852","6.348","6.543","6.800","6.800","7.100","5.000","7.750","7.000","7.085","6.774","6.997","6.250","7.000","7.700","6.000","7.850","8.000"
"Rio dos �ndios","4315552","-27.297300000000","-52.841700000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.000","2.000","2.000","1.000","1.000","1.000","1.000","1.000","1.500","520","1.800","2.000","-","1.000","1.833","1.833","1.800","1.800","1.800","1.800","1.800","2.000","2.000","2.000","2.000","-","-","-","-"
"Rio Grande","4315602","-32.034900000000","-52.107100000000","4.632","4.369","3.598","3.600","2.876","3.463","3.600","3.769","3.900","3.860","4.500","4.700","5.100","5.100","5.400","6.350","5.200","4.800","5.000","5.300","4.250","4.550","4.584","5.100","4.000","4.800","5.200","5.600","4.600","4.700","5.100","5.350","6.300","7.750","6.750","7.500","7.730","8.800","7.550","8.530","8.627","8.932","8.479","9.297","8.642","9.100","10.006","10.095"
"Rio Pardo","4315701","-29.988000000000","-52.371099999990","3.241","3.315","3.021","3.300","3.727","2.843","3.982","4.182","3.981","3.626","3.987","3.971","3.150","4.467","4.480","4.965","4.475","4.462","4.500","5.000","3.986","4.484","4.647","5.247","4.199","5.198","5.199","4.599","5.199","4.794","5.524","5.860","5.963","6.492","6.592","6.592","5.294","7.000","6.900","7.075","6.426","7.135","5.770","7.084","7.200","6.800","7.150","8.200"
"Riozinho","4315750","-29.638999999990","-50.448799999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.500","1.500","1.000","1.000","1.000","1.200","1.200","595","1.200","1.500","1.514","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","-"
"Roca Sales","4315800","-29.288399999990","-51.865800000000","1.600","1.600","2.533","1.400","1.400","480","2.000","2.048","900","1.500","2.320","1.407","607","1.607","2.000","1.714","1.464","-","1.786","1.714","1.714","1.714","1.000","1.214","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Rodeio Bonito","4315909","-27.474200000000","-53.170600000000","1.500","2.299","1.431","900","333","100","1.200","1.200","780","900","1.232","1.200","889","548","2.700","2.700","1.749","-","2.400","3.020","4.333","4.262","1.262","4.182","4.182","4.182","4.182","4.182","4.182","4.182","4.182","4.182","4.182","4.182","4.182","1.591","1.591","4.182","4.000","-","2.000","-","-","-","-","-","-","-"
"Rolador","4315958","-28.257670000000","-54.818640000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.682","5.000","4.483","5.000","2.000","5.000","5.000","5.000","5.000","5.000","5.000","5.000","6.000","8.000","-","-","-","-","-","-","-"
"Rolante","4316006","-29.646200000000","-50.581899999990","1.493","1.500","2.000","1.497","1.500","2.714","2.691","1.744","1.349","1.451","1.507","2.845","2.680","2.050","-","2.900","3.425","3.269","3.581","3.267","3.008","3.008","1.094","2.580","2.580","1.857","1.857","2.571","3.375","4.063","5.000","4.765","4.294","4.294","4.471","4.800","4.800","6.000","8.000","8.000","8.000","8.000","8.500","8.500","7.500","8.500","8.500","8.500"
"Ronda Alta","4316105","-27.775800000000","-52.805599999990","1.500","1.745","1.900","1.000","600","252","2.000","901","300","1.250","1.200","2.280","800","1.200","400","2.100","2.000","-","2.520","2.509","2.517","2.517","1.344","2.517","1.821","1.225","1.500","1.500","1.500","1.500","1.500","500","1.800","1.800","1.800","1.600","1.600","-","-","-","-","-","-","-","-","-","-","-"
"Rondinha","4316204","-27.831499999990","-52.908099999990","1.500","1.149","1.900","1.000","720","212","1.750","1.495","400","1.300","1.300","1.300","600","911","1.000","1.000","1.200","-","1.480","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.600","1.600","1.600","1.600","1.600","400","1.800","1.800","1.800","1.250","1.500","-","-","-","-","-","-","-","-","-","-","-"
"Roque Gonzales","4316303","-28.129700000000","-55.026600000000","1.053","2.100","3.000","3.000","2.000","600","1.506","1.429","700","1.500","1.750","1.300","400","2.759","1.333","2.000","2.000","250","2.857","5.308","3.750","3.923","1.000","1.300","1.800","1.500","1.800","1.800","1.000","1.800","1.167","-","2.000","2.000","2.000","500","2.000","-","-","-","-","-","-","-","-","-","-","-"
"Ros�rio do Sul","4316402","-30.251500000000","-54.922100000000","3.078","3.721","3.408","3.350","3.344","2.677","3.818","3.500","3.900","2.678","4.000","4.000","3.800","4.000","4.900","5.100","4.750","4.550","5.500","4.750","4.000","5.000","4.500","4.500","3.000","6.069","5.450","5.760","5.800","4.136","5.974","5.925","6.733","6.805","7.050","7.150","5.900","7.660","7.719","7.820","7.911","8.560","7.440","8.300","8.000","7.034","8.386","8.500"
"Sagrada Fam�lia","4316428","-27.708500000000","-53.135100000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.000","2.000","2.000","1.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","1.583","2.000","2.000","2.000","2.000","2.000","-","-","-","-","-","-","-","-","-","-","-"
"Saldanha Marinho","4316436","-28.394100000000","-53.097000000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.619","1.700","167","1.800","1.500","1.500","1.500","1.652","1.500","2.000","500","1.222","1.333","1.333","1.333","1.000","-","1.875","1.875","1.833","1.833","1.833","2.000","1.000","1.000","2.333","-","-","-","-","-","-","-"
"Salto do Jacu�","4316451","-29.095099999990","-53.213299999990","-","-","-","-","-","-","-","-","-","1.140","2.091","1.182","692","1.200","867","2.333","2.200","600","2.500","3.000","1.800","2.400","838","2.500","2.500","1.800","1.600","1.800","2.000","2.000","1.800","1.200","1.800","1.900","1.900","1.900","1.900","2.000","2.000","-","-","-","-","-","-","-","-","-"
"Salvador das Miss�es","4316477","-28.123300000000","-54.837299999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.600","2.600","2.600","-","-","-","-","-","-","-","-","-","-","2.500","2.500","2.000","-","3.000","3.000","1.000","2.000","-","-","-","-","-","-","-","-"
"Salvador do Sul","4316501","-29.438600000000","-51.507700000000","1.600","2.489","1.760","1.300","600","300","1.299","1.902","350","1.300","1.800","1.700","300","1.500","903","1.305","1.299","204","1.500","1.403","1.400","1.400","780","567","567","550","550","550","600","800","600","-","1.200","1.200","1.200","1.200","1.200","1.200","1.200","1.200","1.200","1.200","1.200","2.000","1.333","1.250","750","1.250"
"Sananduva","4316600","-27.946999999990","-51.807899999990","1.000","1.931","3.000","1.000","601","-","2.000","922","450","651","649","902","300","1.290","1.800","1.100","1.100","-","1.100","1.100","1.100","1.100","1.194","1.400","1.400","1.400","1.400","1.400","1.400","1.400","1.400","-","1.400","1.400","1.400","1.400","1.400","1.400","-","1.333","2.000","-","-","-","-","-","-","-"
"Santa B�rbara do Sul","4316709","-28.365300000000","-53.250999999990","1.200","2.043","2.000","2.000","1.400","800","1.620","1.060","2.029","1.043","2.111","1.367","636","1.800","750","1.000","1.000","-","2.000","2.231","2.000","2.000","1.739","1.200","1.800","1.250","1.250","1.792","1.800","1.800","1.200","900","1.200","1.200","1.200","1.250","1.500","1.500","250","-","-","-","-","-","-","-","-","-"
"Santa Cec�lia do Sul","4316733","-28.153700000000","-51.929600000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.000","1.000","1.000","1.000","-","1.000","1.000","1.000","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Santa Clara do Sul","4316758","-29.474699999990","-52.084299999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.500","1.500","1.500","1.500","1.500","1.524","1.810","1.810","1.800","1.857","1.800","1.800","-","-","-","-","-","2.000","2.000","1.000","2.000","-","-","-","-","-","-","-","-"
"Santa Cruz do Sul","4316808","-29.722000000000","-52.434300000000","2.499","3.396","2.814","3.200","3.096","2.361","3.935","3.345","3.352","1.779","3.525","3.025","1.169","4.239","3.688","3.617","2.533","2.880","4.000","4.154","2.807","4.162","4.183","4.286","4.286","5.225","5.225","4.874","5.067","4.909","5.836","4.000","5.909","5.909","6.457","6.457","4.530","6.775","5.420","6.500","6.000","6.500","6.500","7.000","7.000","7.000","7.500","8.000"
"Santa Margarida do Sul","4316972","-30.329599999990","-54.082299999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5.750","6.434","5.428","6.000","6.800","7.150","7.300","7.200","7.238","6.088","7.626","7.167","7.807","6.732","8.100","7.300","8.100","8.100","7.882","8.300","8.000"
"Santa Maria","4316907","-29.686800000000","-53.814999999990","3.402","3.394","3.191","4.000","3.729","2.457","3.946","4.200","3.400","3.790","5.000","5.189","4.500","4.784","4.800","5.750","4.900","5.000","5.000","5.500","4.670","5.300","5.300","5.300","4.300","5.950","6.483","6.583","5.590","4.057","5.967","6.300","6.250","6.880","6.750","6.773","5.440","7.295","7.100","7.400","6.847","7.330","6.675","7.139","7.500","7.060","6.707","8.000"
